group,D01,D02,D03,D04,D06,D08,D10,D12
Amphid socket,1.869266049172884e-05,3.564182523078157e-06,0.0,2.321176494979603e-05,3.929891382134022e-05,0.00016380143475718792,5.2547098087450126e-05,5.817022790171542e-05
Anal muscle,0.0021209246241662566,0.007262554274531457,0.00977433347935064,0.013980150806323746,0.012842498236663788,0.019840051862177664,0.0132596420884669,0.014417097416175901
Coelomocytes,0.0007526070068375669,0.0008741265926336905,0.0015568115068577144,0.0016236122740421782,0.0012080632987910862,0.0014844891031142258,0.0007937066224767069,0.0005960150408782485
Distal tip cell,0.00027622968743310167,8.032492101886676e-05,2.454295047242434e-05,0.00015092230492374292,0.00018664095000823632,0.0010878154250200103,0.00025447535069918166,0.00032457570800159465
Embryonic cells,0.002717179446335481,0.0028115377180362167,0.0020344485591534188,0.0036482543615037155,0.007782524100206871,0.004551033246668559,0.016777725615546083,0.019313700312445743
Epidermis and seam cells ,8.941202063741818e-05,2.1079890753675653e-05,0.0,0.0,0.0,3.324150721526158e-05,9.058676970804422e-06,3.142640255715864e-06
Excretory cell,0.0016671083207379757,0.000858439249606304,0.0007987474710710193,0.0005942887557930123,0.0007402270416208244,0.0013460799897978032,0.0012201777363494764,0.0012237442911017876
Excretory gland,0.005438978809061393,0.009257356394235592,0.008834370945823587,0.009374817862798287,0.011009776407346985,0.0063546230907648975,0.005214488290805442,0.005614055156370904
Germline,0.13125873397267948,0.13065370608051352,0.12058430249921903,0.11425465701502732,0.13861558439350724,0.12232368738789465,0.13562676241084803,0.13941766108448425
Glia,0.014255467294188535,0.011815872397215852,0.011588456873345324,0.010384698064735843,0.010074366680766033,0.01554234967684759,0.007561953669274226,0.007350437932734536
Gonadal,0.04661716467605459,0.07244755295914661,0.07328281122757245,0.08367942343268822,0.08190888747303278,0.09679280668708025,0.1107611926529299,0.11545494330697015
Hypodermal cells,0.014335465288638875,0.0001135495400604392,0.0,0.0,0.0,0.0,1.7402553735867096e-05,8.34455708520858e-06
Intestinal-rectal valve,0.0001706714073151246,0.0,1.4835913752377675e-05,3.0660760138132904e-07,0.00012225149842232322,0.000920471473271032,0.0005306663753798557,0.0006177557456998149
Intestine,0.1768471829422066,0.1356256830527026,0.12875366571317926,0.1357951384488125,0.09124320479577863,0.08570945345169306,0.02900956478913499,0.022192873761500462
Marginal cell,0.00338425118071418,0.003096842057149579,0.003392483567646832,0.0036038244955495955,0.0035984669416224994,0.005869281168671135,0.003862565867558179,0.004793811321762246
Muscle,0.13456976416499436,0.13096398922481356,0.14303459056893905,0.1264074957996662,0.10763998738223943,0.17045991133147695,0.10201381600529237,0.11157966680179786
Neurons,0.04108768385029479,0.04971507737963435,0.054572760934379023,0.05416121339362878,0.05192645272361403,0.06905542952486984,0.05377895863037834,0.061158620617089064
Pharyngeal gland,0.002894904366079142,0.0030451420061013705,0.0035226884735493724,0.0028118415630947486,0.0028507634329037828,0.0045654667291374,0.0035201034409653486,0.003681225478760719
Phasmid socket,0.004734243883523194,0.006876365144911039,0.007663874748098968,0.011417641425935982,0.009894780306664462,0.010731769009290086,0.008930694843704883,0.00884525244626243
Seminal vesicle (male),0.00034420456209606357,0.0003798222412195655,0.00038546752885020393,0.0003824094695334949,0.00030917752508242464,0.0001980327139469585,0.00020770195732362548,0.00018392710096934748
Sperm,0.00038489699726968585,1.776793284129433e-05,1.637210235639371e-05,0.00024785943952255167,0.00026358447596789284,0.008482080507899796,0.006420960606782281,0.0016314734332215609
Spermatheca,0.09430610923185127,0.10842824729206668,0.10267757415597807,0.1007885234888884,0.0991801512115915,0.04413136466901702,0.09279097845374289,0.059330756110214065
Spermatheca-Uterine junction,0.0009462723915360749,0.0007992666969505944,0.0006509349295041687,0.0005597716668538687,0.00036358120595074406,0.0007812582687333494,0.0011695339672815831,0.0008253268266725409
Unassigned sheath cells,3.5175717070752793e-05,0.0,5.541984523982063e-07,0.0,0.0,4.818776101950029e-05,1.0531920310349776e-05,0.00010803758397198821
Uterine-vulval cells,0.04865206810580156,0.08803982367585231,0.08341678299493249,0.1235988452234143,0.16988026703318548,0.11739335257101673,0.2102831390605995,0.2106065401768096
Vulval cell,0.010655293681930161,0.01208207265206811,0.011466820643037143,0.00709347681338653,0.004149204541257904,0.003243675796972681,0.0012231489502603494,0.0011788267550165283
XXX cell,4.5117360847415406e-07,5.196910240219548e-19,4.063546584905028e-19,5.503577415956646e-19,4.369588759465583e-19,2.7485491261387615e-07,7.742192459972331e-07,6.111184793876645e-19
"arcade, marginal and pharyngeal muscle cells",0.0033074404123477038,0.003942666929581085,0.003470806221949447,0.002561148660490384,0.0018065758580942438,0.003034708804872835,0.0022308734204481147,0.0032597269766170894
cephalic sheath  and unidentified glial,4.353967949390431e-05,8.328681007915348e-06,3.114017275200509e-05,5.651427644373951e-05,8.332137182697744e-05,0.0004990032184249484,0.0005018883974496779,0.0008641168387397818
hmc,0.0047740243085497664,0.005842965468197781,0.005580873066874473,0.009096094889855083,0.01050054474841387,0.010730955663055434,0.010458751674946748,0.010119607808291412
vulval cells and the epidermis,0.0841547205980181,0.042941651729371234,0.04728233166515535,0.025665068759587732,0.018527021440353775,0.029501104125767962,0.009305004710787702,0.00986558104320193
