group,D01,D02,D03,D04,D06,D08,D10,D12
Amphid socket,0.0,0.0,0.0,4.259724215312843e-06,1.1293010853317758e-05,0.00010301330502148599,3.125726067875396e-05,2.5911791729199592e-05
Anal muscle,0.012392177939795435,0.017370604946095065,0.019914156901817397,0.021589152823278848,0.016447971776803485,0.02869471210327395,0.0103823284234812,0.010666675811163366
Coelomocytes,0.00014283564940696317,0.0004500585817888459,0.0010108915909073926,0.0011349358896753084,0.0008273788764414347,0.002487260950295048,0.0010688971882575834,0.0010855384444182403
Distal tip cell,0.0003583217594191599,0.0003406809317278779,0.0009932538788062345,0.001437488842855393,0.0017093827539078202,0.006710742369826559,0.0029203149919431472,0.003569262487479173
Embryonic cells,0.004281651321968716,0.004210736649337352,0.0031527467307675325,0.005041113527959129,0.011057487445171718,0.006852588366663436,0.02234597620488516,0.026932322540058323
Epidermis and seam cells ,0.0023077305859849173,0.0011715249055936632,0.001193053462950258,0.0009452362040224398,0.000610592068781695,0.0005183691771892318,0.0004124665878347341,0.00043876615670772426
Excretory cell,0.002766958747425773,0.002489098287779865,0.0024277401614988293,0.0015971910823467973,0.0008622894880624358,0.0018765527934312145,0.0013202160538218959,0.0015824001146597705
Excretory gland,0.008172394721150849,0.01321000220325583,0.012517239932985615,0.012686775017332024,0.014938009907587327,0.009253839545070168,0.0069017452497583155,0.007448993993749921
Germline,0.1195033385578609,0.15033985808872039,0.14245814931650272,0.09729687014383208,0.11682638686902971,0.07412972157769708,0.09471465331953141,0.08976805456554426
Glia,0.024494209717922922,0.017336211964733946,0.018046835463620542,0.01246735873917904,0.010190198500214118,0.015019620583708681,0.006890917306307486,0.0074413317797651195
Gonadal,0.06874120290016937,0.1065039602211904,0.10801368383368015,0.1374380978829067,0.13390808407579438,0.14238961330944686,0.17946383241352926,0.19686668891349596
Hypodermal cells,0.06542544385663811,0.013462729417158426,0.012951010951759198,0.0024033644276335742,0.0006509478920014612,0.0009114196045136486,1.6734259362910603e-05,8.990271273771635e-05
Intestinal-rectal valve,0.0021882055606521223,0.00021339199768728403,0.0007099099484548248,0.0034650823499470245,0.0022647537052461492,0.0005066115368380475,0.0005891323684379033,0.00033228989753441565
Intestine,0.17433703914974194,0.14198866572955457,0.11786668171960175,0.14143430514686423,0.08936017826772398,0.08404982631809216,0.03298731837143488,0.02679338406285368
Marginal cell,0.0031001184828019323,0.001485170075560193,0.002629734187681313,0.0031058850063915484,0.0029436460205976914,0.00473859296241566,0.002333781387353555,0.0027745123440278364
Muscle,0.08097485203958502,0.045743479557702624,0.05264195598703668,0.045032452414590696,0.041053738322194534,0.07803164746938676,0.04053576758178174,0.0465772713601626
Neurons,0.04899907249048645,0.06013282667520192,0.06316673407998291,0.06699243181931105,0.06552777798487221,0.09355217815051538,0.06889784085270809,0.07938721669738305
Pharyngeal gland,0.004328971687373397,0.004607759772955408,0.00537696398627077,0.004599939845026954,0.004095162927124398,0.006819566020541194,0.004710038563233599,0.004855543264074612
Phasmid socket,0.008414095509013042,0.011206533733912344,0.012839912728331893,0.016123358179757453,0.014122481873132246,0.015967214474664485,0.012652991849891188,0.012727230598926883
Seminal vesicle (male),0.0007283277034597517,0.000711176355940073,0.0007418613811018254,0.0007268815273953098,0.0005949253721902832,0.00030579249777006805,0.0004221845958880772,0.00033864850879621977
Sperm,0.000588829332473899,1.598485158200349e-05,2.556273004619019e-05,0.00037848027646662525,0.0005053917437758538,0.012695512301871445,0.009183530677420997,0.0029091260761727575
Spermatheca,0.11614529149233165,0.13059903570743717,0.12900897458187016,0.11433329789341146,0.11149001782441502,0.05707649798063688,0.1040670765727708,0.06476687270239542
Spermatheca-Uterine junction,0.0021566958055639733,0.0014620970611348618,0.0011813919903204777,0.0009268437490677451,0.0007118011286411295,0.0010107911570802004,0.0015763818007680944,0.0009752655287528433
Unassigned sheath cells,8.66844978169506e-05,0.00025098683133179434,0.00037826703601070576,0.0,0.0,0.0013559446607457012,7.941267458950169e-06,6.49197801771022e-05
Uterine-vulval cells,0.07088123014029818,0.12854693528403782,0.1225569831463559,0.16674403258383594,0.23111433503390647,0.16684490870330632,0.2782080485149144,0.281150311684622
Vulval cell,0.0020631729301486194,0.0016173300516951295,0.0017354786104753607,0.0019840619332261895,0.0015349563324161737,0.0019270389430039608,0.0009915370444321427,0.0007815783970951174
XXX cell,6.208544559377106e-19,8.286737976337074e-19,9.798531618748406e-19,9.077612744391398e-19,8.59222092429944e-19,5.472279523716379e-07,6.946586220228565e-19,1.1897468462076495e-18
"arcade, marginal and pharyngeal muscle cells",0.0045327007296554625,0.005296055263919377,0.004165218262064367,0.0029352819098205363,0.0022479350953182454,0.004338306708416944,0.003778267716424276,0.005099791273829888
cephalic sheath  and unidentified glial,0.0009361822857683306,0.0009261053544377146,0.0013133769194100652,0.0011314987695252242,0.0010960484438726108,0.0017033905021278327,0.0023736409791610593,0.0033216782520652543
hmc,0.00405258591797934,0.005060961000234831,0.0050593423506978576,0.007321060658406486,0.009803700205408876,0.012142762396617603,0.014076377312007959,0.015749583550853874
