group,D01,D02,D03,D04,D06,D08,D10,D12
Amphid socket,1.4005510423325772e-05,9.312862122458484e-05,1.868690675181008e-05,6.71645403920998e-05,0.00011223322980535202,0.0002450064366241135,0.00011628324822965211,8.594581087842774e-05
Anal muscle,0.007554797130388926,0.006422051436772621,0.006190384966266003,0.00734452765646149,0.006520468566071597,0.010757442321874366,0.006968041928245571,0.007596143652587898
Coelomocytes,0.0006648176410948523,0.000863795924267306,0.001195495282128053,0.0013801149576888954,0.0014825084120229197,0.0013797645395151944,0.0010509682529791329,0.000836801110174937
Distal tip cell,0.0017812419117584685,0.0011806768181368233,0.0016699747969355094,0.0016947689262643822,0.0012419200719470456,0.003975883067416749,0.0010224633467599846,0.0015917841521901155
Embryonic cells,0.003429825614182193,0.00403422071883616,0.0028164119882554636,0.004875261004355646,0.010047125072761306,0.006056946290013677,0.022859870030125472,0.025065899119641095
Epidermis and seam cells ,5.433673237806539e-06,7.5034522870385015e-06,0.0,0.0,0.0,3.97470697610117e-05,7.256823824355753e-06,4.493397457789602e-06
Excretory cell,0.0020371330096030558,0.0017633340433215394,0.0015540628422025205,0.00080551494871136,0.0009162220146691754,0.0017219122779580933,0.0013792918682753053,0.0015020512784085108
Excretory gland,0.0074189159606037145,0.01381595269754903,0.013032116639740748,0.013945275943948109,0.016592368654341792,0.009095339210552172,0.00721851060235015,0.00801072091785127
Germline,0.18802503251231692,0.20751157277631196,0.20185306001993913,0.1874664897991506,0.22654578798737643,0.18669781859728535,0.231725359439765,0.2387686036503122
Glia,0.01676650916207177,0.014342143218755548,0.013839352169239658,0.011851915108177492,0.011618243763898167,0.019537027040349868,0.00918566079810901,0.010120324832301715
Gonadal,0.0422606619475048,0.06499051322096973,0.06926685059739214,0.08120925970918605,0.07682909934051142,0.0894611894463886,0.09654076863960234,0.10214295433938583
Hypodermal cells,0.021141914428913913,0.0009354607591574285,0.00011705122738576675,0.0,0.0,0.0,2.5681623328772784e-06,3.4930504243401225e-06
Intestinal-rectal valve,0.0007455400880264009,0.0,3.094984501175444e-05,0.00010114419902564208,0.00019714255834420394,0.0012148519359912056,0.0007236970787658815,0.0005570924983119168
Intestine,0.16524075787091128,0.17662793161700907,0.14583187055294164,0.17707476049482532,0.11493340273421651,0.09908872984619631,0.03749133252949161,0.02924776953750797
Marginal cell,0.004106875127297973,0.0037209707923020925,0.004080901821776277,0.004282681692755962,0.004360862796921251,0.00710607033072197,0.004258373895932198,0.0053425721518378065
Muscle,0.09173752416605338,0.06272860156082463,0.06579655606293222,0.05527449946788609,0.049465036154705586,0.07589011530678978,0.04193592551940048,0.04722132340995834
Neurons,0.026557595936343863,0.03364511898160524,0.03688915688239992,0.04485415078632107,0.04641763718046383,0.06367537619039797,0.04966741939793983,0.05806632684552906
Pharyngeal gland,0.003826773582527091,0.004576370113326056,0.004915138186846715,0.005806259147185443,0.00741144388981599,0.00883763587918312,0.0070405289179886,0.006146481560870877
Phasmid socket,0.0035328183322077167,0.006568630231219553,0.008069040030692802,0.008359138155103644,0.008431532145026401,0.009656167066625417,0.008920862322010958,0.010422436490420031
Seminal vesicle (male),0.0002804455713316741,0.00025669693730155624,0.0002513364909116224,0.0003040407131294116,0.0002310136521970124,0.00016540171371887062,0.00014638042473541632,0.00013239434395887406
Sperm,0.0004292150114595721,6.423728516575593e-06,2.0262553397491437e-05,0.00014878961161220576,0.00019994332951863442,0.011231224249973935,0.008189917200735992,0.0021790654517361155
Spermatheca,0.06534964391501813,0.068431244532581,0.07055654213890535,0.06262372489553922,0.059467660906950194,0.03485746107630229,0.06335837361733475,0.04202865659601508
Spermatheca-Uterine junction,0.0012452695765727637,0.0012815873335272094,0.0013816669124075128,0.0012550313165003747,0.0010322175107317737,0.0011986785318491918,0.0018147194007328256,0.0011877768309777822
Unassigned sheath cells,9.859281808440013e-05,8.766132724581297e-06,0.0,0.0001427336216595555,7.226977580483667e-05,0.0008313877111528503,0.0005004761954342161,0.0007494527898426218
Uterine-vulval cells,0.0617545178651398,0.09101678241939137,0.09482022359788388,0.11595232490820793,0.1428241335629177,0.12310097329523792,0.19861427588036476,0.18453763183911404
Vulval cell,0.010064935644026222,0.009057022173791871,0.009309715078734173,0.008483831880236917,0.004840308543763701,0.0039025454941444297,0.0013857977231426272,0.0012811460311942598
XXX cell,3.9604260688163935e-07,8.725218217247499e-20,1.2321226582306866e-19,9.878620808962067e-20,9.883359063811839e-20,3.57939967729348e-07,2.3814244720350623e-07,6.069561423238203e-20
"arcade, marginal and pharyngeal muscle cells",0.0038489475415538466,0.004070522992967882,0.0035795057212968085,0.002643300721146358,0.001839355466590051,0.0033051972912651927,0.0023002513431886282,0.003662881070594296
cephalic sheath  and unidentified glial,0.00011439231495075585,6.587982664985146e-05,0.00016342507527173413,0.00011252674748420856,0.00019113362101136477,0.0007294638376654867,0.0007299041367921122,0.0011085527044724628
hmc,0.004811051744831826,0.007315222616420006,0.006920565354410374,0.011546835736165518,0.013992651325892433,0.014246082991901178,0.012378782063839883,0.012954202782657284
vulval cells and the epidermis,0.05721476153927363,0.025092065283345025,0.02832564861516576,0.01483876843413142,0.010048929029853559,0.016298890575698482,0.0036818140311000304,0.004054548256081099
