group,D01,D02,D03,D04,D06,D08,D10,D12
Amphid socket,1.1868813961075773e-06,0.0,0.0,1.6202042113843526e-07,8.040203913293163e-06,8.201026014573713e-05,4.0100999778834576e-05,2.287925941151635e-05
Anal muscle,0.015495782947880765,0.02112300631769286,0.021679340282257247,0.027076716516088287,0.022941737482162192,0.027077238271313944,0.013461381224638138,0.013372575013500207
Coelomocytes,0.0006165588028678127,0.001001059516641637,0.0015217704368970903,0.0017675619772058594,0.0019028976007083654,0.0017620408570459775,0.0012334958542879507,0.0011453133859815282
Distal tip cell,0.0035283929525233835,0.0031472711037121887,0.003766180951067122,0.004834869770379662,0.003663947952360727,0.008224875942120367,0.0038976739058474152,0.005185149203721758
Embryonic cells,0.004926460184772405,0.005622543912784273,0.0036713076131368325,0.006365801856726845,0.013435483313110522,0.00808912452077641,0.030223129493042743,0.03446636142486319
Epidermis and seam cells ,0.0015735022409151872,0.0009710895750794258,0.0008630127318632377,0.0004421295806610451,0.00024502287219970315,0.0004165677799111544,0.00035602788087721706,0.00039788880923439265
Excretory cell,0.0028442015782500275,0.002914377426471784,0.002484756007976123,0.0015433424858521982,0.0008541252114100244,0.0020157625985875826,0.0015497711945833186,0.0019122727597898183
Excretory gland,0.01018796178057225,0.01820719467915868,0.015962898915684472,0.01783236819175244,0.021875310671301797,0.011469232163892364,0.009475599438245177,0.010265783171715313
Germline,0.09837974807610621,0.12947968918793445,0.12365915087120677,0.11981064940033674,0.12353000385888721,0.08058308326631393,0.11509311066605372,0.107655849289969
Glia,0.02056887692877707,0.016735696309465854,0.015316178507443379,0.01240288916385722,0.01125375780831962,0.01543117046956562,0.009417934143363331,0.010528533892431056
Gonadal,0.0636594581390252,0.08835879097603301,0.09044107472719533,0.10792288871364515,0.10652855231574508,0.1153256004483568,0.1321034132997906,0.14082456319370976
Hypodermal cells,0.04350265497200574,0.0028599815544279174,0.000558993040791462,0.0,0.0,9.185376419913034e-06,5.712873685166688e-06,4.07561597987006e-06
Intestinal-rectal valve,0.0029040687963240138,0.00030129125383205794,0.000840705737875084,0.00039825521814661706,0.00030806858494814726,0.00032977721379111714,9.265684673449115e-05,0.00013145287807518827
Intestine,0.15191861710401547,0.18700980024776212,0.19985192059640142,0.17458898837531064,0.14509401657512053,0.14160859247359434,0.06177517954734549,0.05249257760033528
Marginal cell,0.0031149771169999203,0.0017940766107599456,0.0024486874150560244,0.003681240853980967,0.003746207922894152,0.005417047445469243,0.002722621289954853,0.0032841241098553377
Muscle,0.10980861608080848,0.05940043645519493,0.052047641863388595,0.04387168334837817,0.037565160257557816,0.057835270330501,0.03253662826847272,0.036766869622092205
Neurons,0.027495143735612435,0.043922947146770454,0.03867690255505148,0.057277014616572516,0.05787903107541233,0.07955256596116547,0.06409849212414932,0.07875932140786898
Pharyngeal gland,0.005288178011527346,0.005933847645502763,0.005795881899343027,0.007844364781448196,0.01034179637321664,0.011469168609378168,0.009202502402771644,0.008304284006443034
Phasmid socket,0.0069979648395032045,0.009890104914965631,0.011136592947997214,0.009877583195982663,0.010025515401997118,0.012147441649060472,0.010567040413381872,0.012916667699433112
Seminal vesicle (male),0.0004635496357179465,0.0005369885740143858,0.00042905892470057133,0.000574957519219023,0.0005082366794080154,0.00022821217417555274,0.00033813810991889623,0.0002689354570209678
Sperm,0.0006282260010653087,5.3192919889006165e-06,4.294977266501133e-05,0.00023695673218251758,0.00043406842407778316,0.014365214847758295,0.011024324440136719,0.0038661979561429847
Spermatheca,0.07924488413648614,0.08060825157635029,0.07804543332371472,0.07217594388185808,0.06840443128866468,0.039518209621050744,0.07478028213059856,0.050828600478889895
Spermatheca-Uterine junction,0.0016776248801658822,0.001804471774582402,0.0015981576616077107,0.0015634108280450463,0.0018811195010234806,0.0014331005024103211,0.002987323958575759,0.0019265753664975504
Unassigned sheath cells,0.00012692150940226408,6.0769099041367935e-05,0.00033812690182930514,4.9015870356836865e-05,0.0,0.002123701922285485,0.0005533783231428765,0.0010691900546052175
Uterine-vulval cells,0.07691632457045919,0.11093831285410241,0.11031603094391107,0.13800956680783855,0.1770345062341093,0.14489213361559344,0.2508278558432793,0.2383004407877376
Vulval cell,0.006584439899886483,0.004911252282139161,0.004333240692690458,0.006064893382087312,0.004426335252675508,0.004511232277803572,0.001995212240056343,0.0017238453043467148
XXX cell,6.659447977603176e-20,1.1253619350000992e-19,8.243995144316699e-20,7.9709381782163e-20,1.0343973150359185e-19,7.400360128508141e-07,9.554564821291706e-20,1.0198905073820289e-19
"arcade, marginal and pharyngeal muscle cells",0.004144323126056798,0.005083923779797033,0.003606652184384237,0.0031543745882946445,0.002341010423347879,0.004421983809752086,0.0033951754203699735,0.005531468386197381
cephalic sheath  and unidentified glial,0.0007489699258145926,0.0008521528635440453,0.0010441801827748376,0.0013783591382180288,0.0013520904045513748,0.0018943435909691115,0.0025945029112452184,0.0039935533901663805
hmc,0.004293906455375042,0.005966154031614748,0.004552642981205253,0.009089287541473291,0.011552024191456152,0.013114179712236535,0.015590743089771354,0.01768572321393278
vulval cells and the epidermis,0.08080405030847455,0.030899454539873302,0.035463336551531485,0.024121375455998992,0.018800089667455874,0.027551791819996854,0.010044828477918079,0.011941054429530114
