group,D01,D02,D03,D04,D06,D08,D10,D12
Amphid socket,0.0,0.0,0.0,0.0,0.0,3.5031390695031507e-05,1.7640859168860057e-05,1.8940942690360463e-05
Anal muscle,0.007443120810242791,0.013481331294999788,0.01535727356957415,0.017125298085589775,0.013806793911094807,0.022973461464365994,0.009387253618107076,0.009544614814462471
Coelomocytes,0.00012626904669370598,0.00030146876809664677,0.0008036801212174979,0.0009225555254300618,0.0006705941117326721,0.0021572271612034896,0.001032782527664546,0.0010582851859037244
Distal tip cell,0.0004243537412212776,0.00024218044153079732,0.0006850997530300976,0.0012436949277161834,0.001495679120969578,0.00555931741842942,0.00275075906261961,0.0033235766761862857
Embryonic cells,0.00350814409362488,0.003436860778165354,0.0025736016514880953,0.004114962385333927,0.00946759321115453,0.005656108302418726,0.02068215540170052,0.02483284183837407
Epidermis and seam cells ,0.0020289808741994157,0.0011556199316079309,0.001123909123324578,0.0008802482194821687,0.0006208030906741773,0.0005242108503204757,0.0004464223749660979,0.0004666599102752521
Excretory cell,0.0021220203236272804,0.0016150732308610996,0.001293773640888172,0.0007762839925393041,0.0005145531555697989,0.0014520637698188206,0.0011770554983422806,0.0014563238019406548
Excretory gland,0.006569238997472637,0.010433652159445656,0.009748910177988544,0.010067020637508854,0.012637288606639163,0.0075276871084015975,0.006313691158209889,0.006740516324892747
Germline,0.09478600663079034,0.11732085354162143,0.1097096384008139,0.07659003622620839,0.09790485067312442,0.059831919919304144,0.08555028020161236,0.08115171344013107
Glia,0.017253110114209626,0.01255118059858156,0.012968758044219071,0.008558604529802562,0.007128739398551435,0.009648155580495858,0.006390653197167643,0.006706305202210204
Gonadal,0.054538729763818634,0.08344771011063915,0.0834687061718462,0.10817908136921749,0.11226792634323803,0.11325580899641982,0.1615282852177283,0.17843130947153965
Hypodermal cells,0.026243585708105966,0.0004330576441621062,6.129059948594257e-05,0.0,0.0,0.0,1.8049406401217217e-05,8.182580537890047e-06
Intestinal-rectal valve,0.0008069986428792678,1.3525918037048595e-06,0.0,0.0003820364031022205,0.000288101580086435,0.0001856803497127286,0.00015784630519717076,0.00026677444202041984
Intestine,0.23536464883998662,0.24490148510455054,0.2287340018661975,0.25291547090999494,0.1620209764424136,0.1738876307202575,0.057795488774022345,0.04286170956414194
Marginal cell,0.002565913810009737,0.001552233287596858,0.0022513145439578435,0.0027227859438502195,0.0027026854730266498,0.003967513550206868,0.002371255897991967,0.0027225405950188027
Muscle,0.08519746368433442,0.053275190062372905,0.05724705924362379,0.0465967103024755,0.0451333253078734,0.07732600352995897,0.045706284858126445,0.05078477078752536
Neurons,0.042867926302251766,0.05456039261518657,0.055668442276542836,0.0621524296327769,0.0645521021381992,0.08622990117748788,0.07219374867613208,0.08317196164558414
Pharyngeal gland,0.0033744115272267934,0.003704978505791578,0.004241184643213512,0.003725541738935612,0.0033927490620008923,0.00538175796307774,0.00401913418535418,0.004231893839506054
Phasmid socket,0.00727417260584427,0.00941153563990408,0.011024811332162496,0.014868015293178508,0.013168535913579558,0.013512118661199668,0.010980078910380855,0.010517107195948276
Seminal vesicle (male),0.0006738629540735612,0.0006687571668604821,0.0007904017874877249,0.0006916452880750455,0.0005970276202463461,0.0003008862421118568,0.00044782690039703316,0.0003656390610722181
Sperm,0.0005295087919244506,2.1854935338815258e-05,3.506732819853919e-05,0.0003911917285527829,0.0005032998957680244,0.010400572932505335,0.008291552615228378,0.0026766973407519553
Spermatheca,0.09299286600369859,0.10371419042089093,0.10150365604245207,0.09179300155589869,0.09476308870570872,0.04679534656612174,0.09495003308062949,0.05953339253346096
Spermatheca-Uterine junction,0.0017362159539110675,0.0013704302937499436,0.0009324787864560749,0.0007931019360387718,0.0006565071507655614,0.0008685970726157621,0.0014804161522610439,0.0008699185174034596
Unassigned sheath cells,0.00017740768711411986,0.0006732501149556081,0.0008721255101707586,1.667574515626666e-05,0.0,0.0017675189702178848,1.1533835531002726e-05,0.00011313654309133385
Uterine-vulval cells,0.055870749103597635,0.10065054791193226,0.09467273353321112,0.13128528073530632,0.19400193257204673,0.13365712479777084,0.25269242117044677,0.2567315597869472
Vulval cell,0.0054971554689806175,0.005725913962070252,0.005151183218930107,0.004910188262785738,0.003935324293029608,0.003612097813794663,0.0018558953207792898,0.0016711241612248527
XXX cell,4.530482071670421e-19,5.22207274198907e-19,6.598642856378128e-19,6.539757053816308e-19,6.066608662955369e-19,4.050132923596092e-07,6.637611387224238e-19,7.236820351518218e-19
"arcade, marginal and pharyngeal muscle cells",0.0038090122130305087,0.00426814465278537,0.0033622745508814526,0.0024889877791198214,0.0020259756898179018,0.0036914021694630173,0.003709656442802262,0.0049772857070925335
cephalic sheath  and unidentified glial,0.0008088045095414795,0.0008022040556325396,0.0011526345965982797,0.0009504036859069572,0.0009876513112968832,0.0014179962674792381,0.0022734381575666364,0.0031174797617622746
hmc,0.003436538586046268,0.004272449825200197,0.004196950289890327,0.005937581939614753,0.008334664298369926,0.009634755092986782,0.0128535195979463,0.014407480474774607
vulval cells and the epidermis,0.08180720653575617,0.03990645746802185,0.04497980571758009,0.02326652260669603,0.01873929205390475,0.03120709257437687,0.009945743624153451,0.011909510584178102
