group,D01,D02,D03,D04,D06,D08,D10,D12
Amphid socket,0.0,0.0,0.0,9.087124495788607e-06,3.0420075468350834e-05,0.00018097386572093452,5.3402834636913126e-05,3.5520068632629404e-05
Anal muscle,0.018352136750824522,0.024606640781699628,0.02539977417437151,0.03120304585509677,0.02603987943981336,0.0310352931297137,0.014272422392360606,0.01415560872186041
Coelomocytes,0.0007047040767902199,0.0010996467890065768,0.001657061338226238,0.0019347914354956115,0.002104352654928708,0.0018892912514055094,0.0012727114200534282,0.0011541240922111995
Distal tip cell,0.004033312771812479,0.003668852638524645,0.004348418894606923,0.00571648972167348,0.00412855395955198,0.009244375588874308,0.004145180393676677,0.005500062171992412
Embryonic cells,0.00584837145890969,0.006475903599837007,0.00423590876607613,0.007235332318770745,0.015232299070192521,0.009134842267384948,0.032599747998134414,0.037295639918953655
Epidermis and seam cells ,0.001807622967728075,0.0008080938061622374,0.0008005000730888825,0.00046825307900005733,0.00025145912415844296,0.0003996204002021502,0.00033251962596714084,0.0003840629857009582
Excretory cell,0.003381936505371493,0.0033242616602894583,0.0031175422278058042,0.0020194015443341863,0.0011169923638060944,0.002326366108340331,0.0016895006501720564,0.001983404210831547
Excretory gland,0.012141123868694604,0.021089631833952387,0.018699017406072646,0.020505411186941717,0.024882903056426948,0.013095259383826566,0.010303235008215393,0.011243072504606454
Germline,0.11794714171205245,0.15088590480935785,0.145391820375893,0.13834815306360843,0.1411651298341748,0.09256870598437487,0.12555574529878658,0.11836156622006727
Glia,0.025776108293457323,0.02101125681290285,0.019012067472778133,0.013929856675705678,0.012852206276842835,0.01822356735687088,0.010361813838680876,0.01161959332165991
Gonadal,0.07614321917275703,0.10303939763674426,0.10630130705705002,0.12562212985988164,0.12231927832225488,0.13285325799547293,0.14428646790056363,0.1545921025490944
Hypodermal cells,0.06472457560542776,0.019541460245434728,0.017882613316234988,0.003719742495075417,0.0009174808906988202,0.0011853150367463702,1.578391439437889e-05,0.00011878843336272572
Intestinal-rectal valve,0.003463508555042592,0.0005938555048439583,0.0016791381606372784,0.003400793585611721,0.002580614439644236,0.000545456938314262,0.00039538003050951616,0.00014822046454825386
Intestine,0.11022538851390448,0.11898588556900715,0.13097184007929044,0.1164417456917429,0.09938540167583382,0.09787284270677438,0.04390424407563783,0.03752610710485077
Marginal cell,0.00366116395025354,0.0020368134215245264,0.002656438950274325,0.003908074338093941,0.003987498982296371,0.0059307952515628235,0.002834804000609965,0.003431091397454238
Muscle,0.12954066450236926,0.06769244664796405,0.05840629349396898,0.04689144404607616,0.039114103310668336,0.06285936308030067,0.032327644408131316,0.03738259935980053
Neurons,0.030711296314656588,0.04628445722890144,0.04271363556222443,0.05990372834469258,0.05969708476323348,0.08480435824688512,0.0643246629571706,0.08014754129310778
Pharyngeal gland,0.006313746134905514,0.006957262739812823,0.00673806350777038,0.008993838016121757,0.011837220188489496,0.013185033538240088,0.010162506657673322,0.009211447277829795
Phasmid socket,0.008322576439136312,0.011258231432160226,0.01290200524888905,0.010384055548827684,0.01085648286949988,0.013886332287166226,0.011391150259100946,0.014365128358021059
Seminal vesicle (male),0.0005149905037773739,0.0005659882608674494,0.0004413613329012066,0.0005712907505855652,0.0005133156558723917,0.00022608434635707346,0.00031688966400277295,0.00025289567878613185
Sperm,0.0007505447234578303,1.184569146663679e-05,4.174036410331623e-05,0.00021362511636235576,0.0004407738167622357,0.01639511359814468,0.011930698226272497,0.004293795627714858
Spermatheca,0.09481359600528631,0.0937997859623366,0.09144652249148842,0.08309936725865305,0.0778515155742904,0.04491946346198505,0.08113793761728016,0.05538646171166946
Spermatheca-Uterine junction,0.001955299729689208,0.002044179605206077,0.001804407073507836,0.0017353156673313517,0.002088256442322027,0.0015881425074931311,0.0031714404543438323,0.0020429665378219643
Unassigned sheath cells,0.00013947755800915518,7.35762883797017e-05,0.00032201547447107705,6.155196201904954e-06,0.0,0.0021243592793306573,0.00040858773851952713,0.0008071295763508073
Uterine-vulval cells,0.09196973113545703,0.12860261790394426,0.1290200114544675,0.15865824904029965,0.20190943064245404,0.1660611915655128,0.27287608949948067,0.2604449611227593
Vulval cell,0.0060452228036039874,0.0022454772526122975,0.0021350433841027644,0.0031203145107519324,0.0023480956466402437,0.0025583387921246695,0.0011995008430665686,0.0008941450739945137
XXX cell,7.620637316891265e-20,1.3606101065033175e-19,1.5011445791256587e-19,1.1081079840447148e-19,1.3669103996487398e-19,8.334557692973992e-07,1.111846354412377e-19,1.2783865284703012e-19
"arcade, marginal and pharyngeal muscle cells",0.004907206034869234,0.00582142216189105,0.004148359273469131,0.003487880054316009,0.002605162463786867,0.004996475562019124,0.0035894858203337075,0.005860482059308471
cephalic sheath  and unidentified glial,0.0008741378174724461,0.0009433198904220203,0.001151704012140723,0.0015272313391334832,0.0014824256004183898,0.0021000716576991523,0.0027159329691701603,0.004280664080634682
hmc,0.0050238681413510905,0.0067848390966123865,0.005095585809616525,0.01023581962876685,0.01301656430451588,0.01494011374441048,0.016805063996145463,0.01922233297685049
