group,D01,D02,D03,D04,D06,D08,D10,D12
Amphid socket,1.215596392611657e-06,0.0,0.0,1.5879167934934972e-07,7.918363323556422e-06,8.036392133074637e-05,3.968018945728149e-05,2.2458465295025973e-05
Anal muscle,0.015150278378900301,0.020433456876811036,0.020949962205520416,0.026314432003196553,0.022465448546376537,0.026487408766318346,0.01324226975110976,0.013074583868952877
Coelomocytes,0.0006075469658003817,0.0009827335893685546,0.0014903059608589086,0.0017308187116602037,0.0018708156877408975,0.0017296970369726325,0.001221893501396307,0.001125749259500085
Distal tip cell,0.003448890064195435,0.0030642822507639393,0.003666429669546193,0.004681435693735737,0.0035908816451387326,0.008060192056400408,0.003819865052579839,0.005034753078908383
Embryonic cells,0.004821740526244372,0.005450655470034301,0.0035614820562501408,0.006197462382405451,0.013177105512200738,0.00792084421538737,0.02962625612075391,0.03368750349773358
Epidermis and seam cells ,0.0015611053457654717,0.0009472263565561519,0.0008466471302719157,0.000431519339356066,0.00024309515572901308,0.00040925739224762306,0.00035352947129662114,0.0003920297752188249
Excretory cell,0.002794812004528082,0.0028378148406615045,0.0024150150461550537,0.0015045320565118502,0.0008417078017138501,0.0019738978014293717,0.001526309789872402,0.0018782794928975514
Excretory gland,0.00996986700105572,0.0176251954571431,0.015450959876183546,0.017334168550116966,0.021438279077489505,0.011237200551294345,0.009336849987168126,0.01011892528744321
Germline,0.10460523449333864,0.13702760758888627,0.13064219777335107,0.1268837636538329,0.13102419600575246,0.0865016287390808,0.12149627635591638,0.11342690081698939
Glia,0.02016321276485562,0.016271302078072584,0.014931985912099762,0.012119165635130807,0.011055374247347564,0.0151075788357753,0.00926177388478309,0.010324908342170877
Gonadal,0.07242816194697818,0.10362584318374654,0.10650437968626929,0.11989453842702844,0.11210237849241271,0.12308348594748952,0.13182077931447833,0.14420429891346498
Hypodermal cells,0.042519722338073135,0.0027748614015665114,0.000549166948952688,0.0,0.0,9.134787560670812e-06,6.121776497407833e-06,4.107469370971386e-06
Intestinal-rectal valve,0.003012497727953343,0.0003676822325419549,0.0008786570228529191,0.0005676415721725289,0.0003790743620522019,0.0003363367299906909,0.00010113390327724031,0.0001202537546017028
Intestine,0.1483435108579559,0.18091393774411413,0.19317373815805933,0.16939346808799313,0.14194455879179732,0.1385151014373078,0.06086945734631082,0.051548505621732375
Marginal cell,0.003061277624902677,0.0017498756096982213,0.002411384447768665,0.003603018846657162,0.003686174362133402,0.005304523336748066,0.0026851328620477134,0.0032303745809053345
Muscle,0.10736674175015085,0.057555069126523174,0.050398324844845445,0.04261623053334706,0.036751506097075455,0.05659939877853218,0.031938290166148256,0.03607123146843205
Neurons,0.027119057735131197,0.04295692121829351,0.0376918611900933,0.056158047664244766,0.0572008758567424,0.07851284283237675,0.06354660507150509,0.07775514184526261
Pharyngeal gland,0.005173757457231654,0.005736218974584558,0.0056304339458594435,0.0076358316311928446,0.010138469396478896,0.011221536018649123,0.009079306660415617,0.008165266094993467
Phasmid socket,0.006863408611706845,0.00961186372921622,0.010786349227892242,0.009648200018229696,0.009834560885393853,0.011889633575338355,0.010386382191513452,0.012657457743512016
Seminal vesicle (male),0.000459552259806956,0.000527714553731204,0.0004223985507583016,0.0005771902763023377,0.0005030840272474522,0.00022476772299895922,0.00033536512175335806,0.00026398436050931986
Sperm,0.0006191104877887715,5.921454129370648e-06,3.926952210149406e-05,0.00023401231400472947,0.000428855053059636,0.01401992193037361,0.010705629984996596,0.003711533835219203
Spermatheca,0.07740018189498349,0.07805478871950425,0.07543118291855165,0.07014288167083045,0.06700188184959295,0.03866378824721691,0.07355010060036854,0.049852164876555145
Spermatheca-Uterine junction,0.0016442420106767466,0.0017537770779850062,0.0015497747032584515,0.0015267712119970283,0.0018446644642870192,0.0014060009438234113,0.0029370428522313054,0.0018847664637567652
Unassigned sheath cells,0.00010331270602783341,3.386467750711518e-05,0.00024850746732469356,0.0,0.0,0.00178772414292145,0.0004248171620916957,0.0010284251741035691
Uterine-vulval cells,0.07523834520783722,0.10744166596497758,0.10677039327981024,0.13414469877461896,0.17340477222456427,0.14192648219633971,0.2462592872955095,0.23335674881994997
Vulval cell,0.006438991579918894,0.0047782978999574115,0.004213140010773909,0.005913012545086204,0.004338936692899517,0.004418646912136238,0.001969916631225519,0.001694923808881447
XXX cell,4.304117687598266e-20,7.657358572423155e-20,7.93123032087317e-20,7.363267346269675e-20,1.096731926845563e-19,7.180217395701021e-07,1.0036355955305558e-19,8.603452803537109e-20
"arcade, marginal and pharyngeal muscle cells",0.004052090318173731,0.0049347595023088026,0.0035111835398665254,0.0030842841010836437,0.0022961137655506305,0.004321768832577192,0.003331726445797594,0.005421400433678044
cephalic sheath  and unidentified glial,0.000737669571729468,0.0008274876936662484,0.0010237987302786735,0.0013430468490961878,0.0013298493972864764,0.00185821088451716,0.0025497319963101893,0.003906205340362758
hmc,0.004212520641701238,0.005801249921494033,0.004444868207730338,0.00886157641510776,0.011332461226154085,0.01283465901232701,0.01530442206281341,0.017307772157209023
vulval cells and the epidermis,0.07896676172311266,0.029927086421084617,0.034306613830799394,0.023443083388426746,0.018406240125758935,0.02695167303145149,0.009900836129118165,0.011719795968600843
