group,1,8
Amphid socket,0.0,0.00010699009353926117
Anal muscle,0.01768523066614283,0.0361993039700492
Coelomocytes,0.0008460857035160401,0.003666945624492494
Distal tip cell,0.006259743351596237,0.012330682336444992
Embryonic cells,6.991773855003945e-20,0.0004645522386071165
Epidermis and seam cells ,0.0005908760483202845,0.0007141091092738094
Excretory cell,0.0023838351688162266,0.004277875983714796
Excretory gland,0.014527693321247748,0.016785354926523815
Germline,1.1122344215901638e-19,2.5463244190467206e-19
Glia,0.027244506872856167,0.01923611458594363
Gonadal,0.10971529874982691,0.21794743598656555
Hypodermal cells,0.027679415488469288,0.0
Intestinal-rectal valve,0.0003349354213400878,0.0
Intestine,0.217476692315572,0.08084211117857296
Marginal cell,0.003475274790606911,0.00816971751179733
Muscle,0.0719225853545796,0.08499162528762566
Neurons,0.04810272894918286,0.14362221949092333
Pharyngeal gland,0.01556661493425468,0.04261255376644174
Phasmid socket,0.015003435942649156,0.021691945598873316
Seminal vesicle (male),0.00041744244515374006,0.0003516264865856154
Sperm,2.923200670794028e-19,0.0006049920030580496
Spermatheca,0.002994667924684793,0.00431861070093517
Spermatheca-Uterine junction,0.0008298652256422354,0.000217660825289645
Unassigned sheath cells,0.00036325569301761665,0.0044319038616292845
Uterine-vulval cells,0.12114564919589071,0.031129819335988813
Vulval cell,0.00869936457581167,0.002948768961609314
XXX cell,3.5560155565080356e-20,8.278576119549016e-20
"arcade, marginal and pharyngeal muscle cells",0.003968491545441275,0.009567169022689058
cephalic sheath  and unidentified glial,0.0014688715808178479,0.003485409494368469
hmc,0.008025838187169744,0.020330425096349886
vulval cells and the epidermis,0.06694672472260228,0.01943290455076419
