group,01,02,03,04,06,08,10,12
Amphid socket,0.0002360122854584936,7.7856015447425e-05,9.075678875857856e-05,0.00017174654383948627,0.00012187444372827582,0.00038649126127412656,6.410926614981705e-05,2.4258764087795236e-05
Coelomocytes,0.0016244758287538457,0.001398115303723356,0.001915982696198376,0.003139606614935886,0.0032848429196957497,0.0021065703229331562,0.0017692818591720802,0.0013202321618824477
Distal tip cell,1.1149940649966665e-05,0.0,0.0,0.0,0.0,2.4461517562864912e-05,0.0,0.00014693501084293332
Embryonic cells,0.010075423245579637,0.0117362695113834,0.007338380608143654,0.012815583966303008,0.026400426914990692,0.01568562597292981,0.05117129500949815,0.05920511134842922
Epidermis and seam cells ,0.0018118624071595832,0.001028058675721501,0.0012428615450538656,0.001336168748700499,0.0007475877248534044,0.0007076536020383549,0.0004922891389786843,0.000500219593322933
Excretory cell,0.00012025742533039979,9.926266668959505e-05,1.6429721026329574e-19,0.0001957778631686245,0.001625496411839079,0.0027377132198003066,0.002197634667695992,0.002617814797549867
Excretory gland,0.021534588638005083,0.039280656472735986,0.03441083895658971,0.03786745588358238,0.04404924265693446,0.022949297716579848,0.017198473616640012,0.018647025717280653
Glia,0.029689593819255768,0.02576572424584086,0.021264382330633207,0.02387031983320777,0.01798860854044823,0.027177153918152168,0.014638213198656021,0.01693984616544477
Hypodermal cells,0.10740217337176526,0.03539339697332075,0.033207180765599045,0.006861746139686399,0.002147720114928179,0.0027332204415080096,0.00029128073059381796,0.0004330328560268167
Intestinal-rectal valve,0.0008448351863413029,0.0008326810139934241,0.0012347873225529668,0.0015587313767358106,0.0010235854779410386,0.0003330172895539219,0.00034660740929523065,0.00015773297210015317
Intestine,0.05054169209265156,0.04656044822893955,0.05020582845189262,0.05727647426682058,0.041758202079259794,0.03165030621784474,0.014785651878456207,0.01246488556905723
Marginal cell,0.005745707092832902,0.004008675519960577,0.005373503145199436,0.00622305482686042,0.005432140500740949,0.008811682940970355,0.0038690601892729685,0.004630798548277286
Muscle,0.08052270577992504,0.07474384202117915,0.07627569658180709,0.06854976040116159,0.06012074395139365,0.08518256892406846,0.040117104451852396,0.04684927743054737
Neurons,0.028953876125879397,0.04153122753012811,0.04122347701834565,0.04553501743669248,0.046645864037462494,0.07051188882528628,0.051424285088724694,0.06852596558065302
Pharyngeal gland,0.01108858943723707,0.013256345504342525,0.012067899349875968,0.017333145023020708,0.02152620252427651,0.02407666789007991,0.017188459992160846,0.016079608418987208
Phasmid socket,0.014246293506359316,0.017789520237129083,0.020159227778754944,0.019234155732865105,0.018419254140777053,0.027500586278529606,0.02177301487807592,0.028374332777042207
Seminal vesicle (male),1.8636017992058359e-06,2.6615800208973675e-06,4.042962990005028e-19,3.192785207777383e-19,9.132126183999242e-06,2.343005830605572e-06,1.3612467023672562e-05,3.4492067782865353e-06
Sperm,0.0011981962714456167,5.634581620041336e-05,5.452862685900358e-05,0.0002613465776258351,0.0006322102297109988,0.028929333590613362,0.018338071972808102,0.007359455517971001
Spermatheca,0.16982335099240406,0.17508753844920172,0.17368100096599076,0.15640607221197972,0.1368728476516218,0.07884556122332846,0.1342315812366324,0.09031512038590502
Spermatheca-Uterine junction,0.0014898141972007706,0.002359238784082435,0.0014261040886589,0.0013300340554282,0.0031415834743083186,0.002085096724905786,0.0042037611334114966,0.002331117335166912
Uterine-vulval cells,0.16214242250140642,0.23862175716386358,0.24080444163491807,0.2940103946169966,0.357530267358209,0.29774650304230504,0.4433425233571894,0.4306084953252271
Vulval cell,0.010474595754685794,0.003595995664916075,0.003598501750029096,0.005416692842149104,0.004237785019985328,0.003925349534612743,0.0014975004282597978,0.0012798313399756285
"arcade, marginal and pharyngeal muscle cells",0.01036168034661903,0.012478991866313184,0.008106666795121792,0.005169511930172394,0.004258501088051885,0.008560379051423471,0.0049458565398867865,0.008122079384075085
cephalic sheath  and unidentified glial,0.0013552868198099383,0.0014145108838263024,0.0019138331435316549,0.002637823502504317,0.0023048592655982064,0.003226154496531212,0.0032735950087245877,0.004697050161763045
hmc,0.010511413509917153,0.014207004510181396,0.010391038266434973,0.022482847881072444,0.027859566187229064,0.026469250454586486,0.03122274426332962,0.035077255392133765
