group,1,8
Amphid socket,0.0,0.00010699009353926117
Anal muscle,0.017685230666142828,0.0361993039700492
Coelomocytes,0.0008460857035160435,0.0036669456244924894
Distal tip cell,0.0062597433515962355,0.012330682336444989
Embryonic cells,6.508810791556096e-20,0.00046455223860711775
Epidermis and seam cells ,0.0005908760483202844,0.0007141091092738059
Excretory cell,0.0023838351688162257,0.0042778759837148
Excretory gland,0.01452769332124776,0.016785354926523825
Germline,1.0669206997665056e-19,2.6421259974360937e-19
Glia,0.02724450687285619,0.01923611458594364
Gonadal,0.10971529874982688,0.21794743598656555
Hypodermal cells,0.027679415488469288,0.0
Intestinal-rectal valve,0.00033493542134008556,0.0
Intestine,0.217476692315572,0.08084211117857297
Marginal cell,0.003475274790606911,0.008169717511797348
Muscle,0.07192258535457957,0.08499162528762565
Neurons,0.048102728949182855,0.14362221949092333
Pharyngeal gland,0.015566614934254678,0.04261255376644174
Phasmid socket,0.01500343594264916,0.021691945598873323
Seminal vesicle (male),0.00041744244515374114,0.0003516264865856142
Sperm,3.0335450291765423e-19,0.0006049920030580496
Spermatheca,0.002994667924684795,0.004318610700935178
Spermatheca-Uterine junction,0.0008298652256422365,0.0002176608252896438
Unassigned sheath cells,0.00036325569301761665,0.004431903861629294
Uterine-vulval cells,0.12114564919589071,0.031129819335988806
Vulval cell,0.008699364575811669,0.002948768961609318
XXX cell,4.191869651935179e-20,5.463363032695927e-20
"arcade, marginal and pharyngeal muscle cells",0.00396849154544128,0.009567169022689044
cephalic sheath  and unidentified glial,0.0014688715808178555,0.0034854094943684646
hmc,0.008025838187169742,0.020330425096349886
vulval cells and the epidermis,0.06694672472260227,0.019432904550764192
