group,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10
Amphid socket,0.0,0.0,9.406333043526111e-06,0.0,7.755945570712344e-05,0.0,0.0,0.0,0.0,0.0
Anal muscle,0.0015050341688487958,0.0028270913405320504,0.0074287557895442455,0.008100938410521336,0.009052143538335377,0.008061700202515502,0.012118642805356988,0.008882121694343062,0.0018658701524230474,0.00255946021801973
Coelomocytes,0.0,0.0,2.338367982515574e-05,0.00040093467300174367,0.0011197150965829947,0.0018805231840696027,0.003214883793589801,0.0038627169422553133,0.003958777064644001,0.0036554027973315314
Distal tip cell,0.005302238140755245,0.003970089408138303,0.0016592479977431413,0.00036017853829931897,0.0,0.0,0.0,0.0005921424874885743,0.0007383471493102443,0.000317472134426015
Epidermis and seam cells ,0.00013965232027165786,0.0,0.0009895227579823983,0.006206762780510859,0.009474254641537267,0.013487380459473711,0.01032670629447172,0.012148939199670203,0.04349015035918511,0.03712921458684926
Excretory cell,0.0,0.0,0.0,0.0,7.562980900386846e-05,0.0,0.0,0.00043360696314881337,0.0011784478309390144,0.0009279196330672275
Germline,0.09812231171843222,0.08578478836032348,0.07799482446734901,0.07364294076431864,0.08443381396537401,0.08244781400669828,0.08215418122435691,0.07846762215911506,0.08537314874495443,0.08699638764373191
Glia,0.03270824594565614,0.027271546550998057,0.043061241205879446,0.050728108146501645,0.0612601066406496,0.0665022113019597,0.054642605542036427,0.046566420471882496,0.04089519679471173,0.03941339173618262
Gonadal,0.027830126486590792,0.030410134609038002,0.031626587747470875,0.03335526385846543,0.03443700977393367,0.026753047190447358,0.02576070369776079,0.021414782574441488,0.028197699924729633,0.02385876721048243
Hypodermal cells,0.006500652020663178,0.0131680995555317,0.0030639673852096787,0.0005337971347524857,0.001259435779156807,0.0005036678769634095,0.0,0.0,0.0,0.00011657814699524423
Intestinal-rectal valve,0.0050610125717903374,0.0012182720354065554,0.00047904577918759047,0.0,0.0,0.0003537780200005326,0.0,0.0,0.0,0.0
Intestine,0.028362238649729685,0.03426551507024651,0.041427515955153676,0.043361714845269274,0.049489505544991895,0.048814373442871824,0.054748732982761075,0.04597504783065671,0.05515109094613618,0.04786729725625479
Marginal cell,0.013576402064680625,0.01992508901456218,0.024159622478489663,0.030347696949432554,0.030915153854256968,0.028258839148815034,0.027275071932660034,0.024087966627718577,0.023058081243252353,0.01916643366001667
Muscle,0.05319269417680032,0.0568964716054203,0.05593244637945285,0.06196908539910423,0.07709450578486185,0.07271325078583436,0.06723583309337638,0.06220644405872538,0.0855759260802605,0.07924905624983712
Neurons,0.33101590846120166,0.3423124321203239,0.33477348190114276,0.3201945549712507,0.2793098584294688,0.28533890093838205,0.29191941953258,0.31811285466321026,0.2991018368159742,0.3136683500722346
Pharyngeal gland,0.0018266483535088853,0.008347036837344824,0.003932218932716056,0.010286066120813609,0.007024370778688181,0.012290660596354445,0.027763323931542717,0.023273514094163256,0.016316370586668728,0.022743590676636928
Phasmid socket,0.004104305166867329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008346056834520694
Seminal vesicle (male),0.008171764712708198,0.006658630095104195,0.005655837495433335,0.00775803593384148,0.007315228994622484,0.006443086946580581,0.006904610075221132,0.006755649539726373,0.005743691711273577,0.003926876478517401
Sperm,0.006176776084841503,0.0019839139334815233,0.0003135536161153022,0.000137683053446021,0.00037912929206838285,0.00041579827214383974,0.00023729961762575407,0.0008783420520584005,3.2683807077934003e-05,0.0002578766348486948
Spermatheca,0.0061887710668723315,0.010167904484987274,0.012855253519451777,0.010936882994709336,0.015223474897666853,0.015179908335792832,0.016036383717445764,0.017132839608744156,0.018383954787722073,0.019956179733059624
Spermatheca-Uterine junction,0.0029497039889855234,0.0010350477325367991,0.001032592156195927,0.00044459875205099547,0.0017217578185392275,0.0029354163874062513,0.00255858694103621,0.0032570860815876223,0.005602030295706177,0.005251970093203296
Unassigned sheath cells,0.006430867425747082,0.0002275996619817498,0.0024606470741862746,0.004582810337390925,0.004941599023804645,0.00561703734909622,0.010877216282368266,0.010516455321721022,0.013753021789353967,0.012392234629349517
Uterine-vulval cells,0.020887138119262457,0.0208629092862398,0.026333900705917904,0.02680473408429826,0.04448680342192534,0.04174234206094397,0.036811552490103976,0.03536099690719315,0.04681371800570957,0.04438493375478039
Vulval cell,0.0013686098343560467,0.0064216259497954,0.0037568991568971977,0.004817804286848668,0.008627438862148706,0.0038025761005891154,0.008900031452928696,0.00873598313004804,0.009375677340135976,0.008894118178911588
XXX cell,0.008471011907692094,0.005707044255412986,0.004652966857541285,0.004173691573042828,0.0017324561382139495,0.000531049124809465,0.0023823831535095138,0.008608717188956087,0.007447820598921105,0.008275052951328448
"arcade, marginal and pharyngeal muscle cells",0.0,0.0,0.0,0.0,0.0,0.00016896892946241884,0.0,0.0008573142332547869,0.00011612535014092109,0.0007767566853721114
cephalic sheath  and unidentified glial,0.003256258501063038,0.00023599876123044143,0.0012225987519371322,0.0007038697436799217,0.0,0.0,0.0004817331301944413,0.0005195082700465832,0.0,4.0223289891604825e-05
hmc,0.0018692428703738274,0.0031347165672659747,0.004827270853164573,0.00548018394111065,0.007067788420282088,0.006911094601887518,0.005784175270542419,0.007151615481546117,0.007862705661678912,0.007093035192180875
vulval cells and the epidermis,0.015068950572144225,0.01243359148428218,0.020377882240161637,0.021471492642219227,0.023391584960207736,0.03590502088334553,0.026226849004650454,0.03326261658126205,0.0037797232218482273,0.002865313992304407
