group,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10
Amphid socket,0.0,0.0,0.0,0.0,0.0,0.0,0.0001324469292631648,0.0003383423912061059,0.0,0.0
Anal muscle,0.0020624323470507105,0.006449485252368424,0.009766941798090076,0.010428389412838739,0.011770278954909579,0.011604986418106554,0.008004278399161353,0.009341864343734832,0.006507401659143145,0.005206788278340528
Coelomocytes,0.0,0.0,2.2053612076473622e-05,0.0008730918232488142,0.004556328223714553,0.005908134886331836,0.006123755455855678,0.006452782776525101,0.0037742649151176703,0.003214049812327534
Distal tip cell,0.01577085437050352,0.010313873535031251,0.011766025789486005,0.007891892546262094,0.009737899297407945,0.008318153911507583,0.007076777967911271,0.006479149966008991,0.00815687219464556,0.0074072095541424104
Epidermis and seam cells ,0.00018382146004080767,0.0,0.00037656397511173713,0.0,0.0,0.0,0.0,0.0,0.0,0.001048487344080057
Excretory cell,0.00031655545383328616,0.0016121789896260848,0.000404362496755761,0.0020307407498423254,0.002850436747098377,0.0020394684617505037,0.006675347569485986,0.005972194823582944,0.005526547072332106,0.0037418146495594405
Excretory gland,8.254602809347555e-05,0.0002942116469751808,0.00022986777044713743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germline,0.046348955712757996,0.03714582259132997,0.03542016487187179,0.027912889304531768,0.031092389420719485,0.02741996504767659,0.02383518306483465,0.026674334983498076,0.028322257307598183,0.035451020483736446
Glia,0.02410078440978963,0.04011867853788229,0.049401019401051155,0.05309677742242227,0.059440415535683834,0.05545612116104202,0.05357935337584533,0.05514825291819742,0.05421175651174893,0.04965642218783009
Gonadal,0.024170994145183256,0.03929920758813202,0.04171843261451174,0.040900907390441256,0.03998235810233089,0.04043544496292861,0.046932840224191696,0.043080042163120655,0.03876371617858053,0.03899577520928533
Hypodermal cells,0.0076730003716998585,0.015235830032614731,0.0035873799326574547,0.001307744881056846,0.0,0.0006053369164407955,0.0,0.0,0.0,0.0
Intestinal-rectal valve,0.01898986856148547,0.014835590996861362,0.013075083947409492,0.009651522689452274,0.003740536089912523,0.0034432579355315163,0.003010392471700569,0.002317850052515331,0.0009428455443841713,0.0015187348724064473
Intestine,0.05232828023843406,0.05231827526124308,0.057252044732784474,0.05590419585968558,0.05380384541413283,0.04916367426866348,0.04576448530571266,0.045536714154232494,0.04203004544467837,0.04345749820302373
Marginal cell,0.023683135106503047,0.0207703117691664,0.027881987817694718,0.03215748606998684,0.03530191860458371,0.03439559834628756,0.02947855722046312,0.03041279865712243,0.02923847943216583,0.02796902788491771
Muscle,0.06757203759591965,0.07185691458982145,0.08517109881963604,0.09358628004181259,0.10686212065667176,0.09988481438045597,0.08348569965562833,0.08429504222393855,0.09001749461541915,0.09002048432401773
Neurons,0.30279792493335206,0.2943758699610075,0.2864809585148807,0.27078040443996204,0.22762314247057755,0.2315592165999921,0.23375258249449807,0.23570789832699687,0.24950793673203417,0.2329177850446868
Pharyngeal gland,0.000845315970053637,0.003443826212994534,0.0011593434955409884,0.0022258206280367293,0.0009624716423830684,0.003472145593200523,0.008628372440419255,0.0101257233744791,0.005657566944447932,0.008792815854075799
Seminal vesicle (male),0.026802410916680845,0.021034451921606388,0.018362914396089995,0.020757455317361433,0.01600185412107139,0.017896761259100606,0.01958329295782401,0.01869497307390026,0.012591680864961083,0.010875864432049916
Spermatheca,0.023952989297050434,0.033698442292793146,0.03187301031369388,0.03144777208931719,0.03631074876039243,0.040070835354240615,0.0433995185466433,0.04421628182834265,0.044435438442084384,0.0488872536272606
Spermatheca-Uterine junction,0.014390345429984564,0.005238406358778849,0.004576779514286678,0.005156093386545082,0.006382857789468667,0.006762730740214065,0.006623492218760763,0.006378920996493538,0.005750161865885423,0.006868784165194222
Unassigned sheath cells,0.00011666448164685842,0.0007175256448760934,0.0032232374780374012,0.008676385476907062,0.008934629987106273,0.010116508384474454,0.01733674830139522,0.016703994300795635,0.02653935150305635,0.02711851477481776
Uterine-vulval cells,0.03216463096106803,0.03829085345616493,0.04557562358090451,0.04720446393299147,0.06323663860012944,0.06305993082162344,0.06521337701304167,0.06335084077582435,0.06778564094754265,0.06743551322294555
Vulval cell,0.0009313124424409735,0.007116758264104491,0.005069036257039747,0.005132206498883651,0.010520896312803155,0.004943888153406501,0.012093910626037227,0.012345697824146422,0.01273477256510677,0.010179011617112259
"arcade, marginal and pharyngeal muscle cells",0.00026867990436846675,4.959038416003306e-05,0.000123010014907083,0.00399758271028814,0.014919957249373048,0.016206295218789062,0.019433557622807518,0.022477624336771175,0.019932697555496134,0.0175360608053711
cephalic sheath  and unidentified glial,0.012728581802262884,0.0153428225471212,0.015701274380156907,0.013102652838157555,0.012091234408348445,0.012987464036883278,0.014275893790315056,0.007804109039627847,0.010717177994555823,0.007318421342867523
hmc,0.003976658902181093,0.01172212596386484,0.015855457094032157,0.016649603224910253,0.01827214005310046,0.020289803211247955,0.017182027492639217,0.015068330965290092,0.022394657178364055,0.01916355518806361
vulval cells and the epidermis,0.0019430562250990413,0.0026703628551725794,0.003120987783397487,0.002776653548295737,0.0031454801504943505,0.005227422810814358,0.0007716833665280757,0.0022659745993634,0.0,0.0
