group,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10
Amphid socket,0.0,0.0,6.507468462200002e-05,0.0002438103385808845,0.0,0.0,0.00022966982465015624,0.0,5.3516017338157495e-06,0.0
Anal muscle,0.0076101930775571555,0.01082176038104649,0.016670079982369714,0.01168696478533889,0.009249114389255129,0.010228795557009063,0.015258880548704945,0.01579551389926628,0.004293363456101539,0.004506198648699878
Coelomocytes,0.00033068139579268523,9.884992944747023e-05,0.0002784444658728691,0.0006008314240129011,0.0014675630116807129,0.0023057978231710214,0.003953493326351922,0.004867970671971669,0.004999818072105899,0.005159321524321985
Distal tip cell,0.004806742743355869,0.0036397056301712017,0.002443370361768668,0.0013157593817012005,0.0004228444008808465,2.0844753619567957e-05,0.00014933947796493056,0.0008915485687171467,0.0009290109583350474,0.0007262197527451934
Epidermis and seam cells ,0.006866295760547506,0.00019423126735291393,0.0021214016762891416,0.0011160209334115485,0.0,0.0,0.0,0.0,0.00175642024744088,0.0024304915482896727
Excretory cell,0.0007514636165472225,0.0004170680693047579,0.0,1.0206232021499502e-05,0.0,0.0002297918399611932,0.00019267064244880513,0.0019572567804927873,0.003136170933552146,0.0021815870068273525
Germline,0.12717130831077386,0.11419309837476208,0.10031013099089568,0.09279538099971464,0.10244603114600916,0.09859893953329944,0.09719847172439833,0.09816951483060805,0.10696621289451973,0.11087550385064233
Glia,0.0521761114769237,0.05223363153282662,0.07209109284578982,0.0826616292684251,0.09646500864723508,0.09047530445417844,0.08297487739317284,0.07778292901866501,0.0791510522806551,0.06924083046933112
Gonadal,0.03076633871033352,0.036724313390042396,0.03438449324206709,0.031738323110368734,0.03485998745521171,0.023501794928807565,0.02258533970974464,0.01986140543451681,0.025278642117567297,0.02595073673623725
Hypodermal cells,0.007532226176493304,0.015728518633776976,0.003888799932370994,0.0006185429495297292,0.0011724157370141366,5.3829550238058834e-05,0.0,0.0,0.0,0.00021657788180459055
Intestinal-rectal valve,0.007285420237084326,0.002972752483462562,0.0009717932143094965,0.0,0.0,0.00029168677351840453,0.0,0.0,0.0,0.0
Intestine,0.03547619707985304,0.0442872987182346,0.04920503923361255,0.0532147053322386,0.05924027484679143,0.05749156591419213,0.0648359617975349,0.05588303244241304,0.06654684277011487,0.06096772939156525
Marginal cell,0.02275017004703273,0.02816499278083913,0.030432890814381178,0.036571339324632926,0.038951488444391835,0.037788631977012176,0.03663583215132275,0.03350010678072325,0.030006042170665076,0.026678338834957772
Muscle,0.08160051843730073,0.08721616628881596,0.0812881558205508,0.08882751736485099,0.09838357390495804,0.0922790588060608,0.08790288529910972,0.0832934549966009,0.11397044250061372,0.10725631104707363
Neurons,0.3088106496859526,0.3290522409354343,0.31662221325774936,0.31235833592377743,0.26882881762323635,0.28207298573705447,0.29350905624759954,0.3144974523444253,0.27645658122057126,0.29019239241261474
Pharyngeal gland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011503393691709089
Phasmid socket,0.004977232040336856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001115216332300497
Spermatheca,0.006435962771989586,0.012741120256110013,0.01352035192892128,0.011536833824674136,0.01801674735318894,0.017657925246966064,0.019085843840910315,0.020847631050769415,0.022617549347058816,0.02542017211092597
Spermatheca-Uterine junction,0.003563409316600698,0.004707768522271833,0.007084344075589272,0.004475538423095,0.009178323466734051,0.0071873845442387485,0.0067503193024126915,0.009969615214925958,0.011800225951635412,0.010879402676953266
Unassigned sheath cells,0.007121256026848478,0.00038130805156092823,0.0017709901868470544,0.004801430063133504,0.0049436419883902355,0.0069564515146908245,0.010946476726189603,0.013888401066890621,0.01838813231124447,0.018256643640429438
Uterine-vulval cells,0.026063807803476356,0.028578927448017852,0.03409075200723682,0.03372393260676763,0.05450413112976715,0.04941225728218516,0.04684596243003804,0.045710268429529285,0.05740599864907584,0.05429230853451753
Vulval cell,0.001882399704681421,0.0067985601518631665,0.005478287217949794,0.005578961657160093,0.012071382833479952,0.005214553998490236,0.010550558954492044,0.011062939303855235,0.011656716375208057,0.011329351586871893
XXX cell,0.008071728699955396,0.005334215411382551,0.0016794023763608628,0.004172393104467387,0.004366170927769427,0.0022187338510985264,0.005717398668775128,0.010246117647856715,0.007952472516830341,0.009663740153643938
"arcade, marginal and pharyngeal muscle cells",0.0,0.0,0.0,0.0,4.0941039805848545e-05,0.0,0.0,0.0013141091337778173,0.0001059147629408544,0.00037522547473733443
cephalic sheath  and unidentified glial,0.00036366624982560737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hmc,0.0023846017281174813,0.004649526551243687,0.005374971179334346,0.00476805946341481,0.005757897285516561,0.0058151440868105565,0.004410061762911868,0.005446729841336464,0.008201130041122384,0.007690270721916666
vulval cells and the epidermis,0.014787474882738703,0.012365291124353956,0.017563424230885714,0.02268966283181906,0.026507714331004576,0.039726113899261,0.027893669373910378,0.03997715859431852,0.002939752661724688,0.00049707846025455
