,Body wall muscle anterior,Body wall muscle posterior,Coelomocytes,Distal tip,Glia_3,Hypodermis tail,Intestinal-rectal valve,Intestine anterior,Intestine posterior,Seam cells (grd+),Spermatheca bag distal,Spermatheca bag proximal,Spermatheca neck proximal,Spermatheca-Uterine junction,Syncitial pachytene spermatocytes,Unassigned sex-specific muscle,Unassigned uterine cells,Uterine muscle,Uterine toroid,Uterine-vulval cells,Vulval cells,pm1_pm2 (pharyngeal muscle),pm3_pm4_pm5 (pharyngeal muscle),pm6_pm7 (pharyngeal muscle),sh3_sh4 (gonadal sheath proximal),vm1 (vulval muscle),vm2 (vulval muscle)
LFQ intensity D3_6,0.0032056349577817746,0.034343349166504826,0.008771048303348156,0.034258149461488925,0.0,0.0,0.06876950566085009,0.030653243007215246,0.11520003737095214,0.01869942532638085,0.013880280073015406,0.0661265767186963,0.0075197061058000685,0.01356331827179253,0.023667946419431807,0.022301572569389576,0.03716211374194611,0.06112785464600201,0.03645061172801179,0.015815118785866833,0.0,0.0,0.0999732802507991,0.031952715155722,0.09356373700660672,0.1303821966231194,0.03261257864927844
LFQ intensity D3_7,0.00294477068677205,0.06129471781399423,0.0,0.0302152920305985,0.0,0.04190136393130194,0.06932788964631753,0.016340932866485514,0.11786710495160013,0.0,0.00677343314948387,0.07929234388421287,0.0038050626015877094,0.019843401026520536,0.023269471617038573,0.011052607255111986,0.052938480082908315,0.0611185143695734,0.043283778402712615,0.006420711513773251,0.0,0.0,0.10939147466871645,0.016477651214569893,0.08075575823293805,0.10902743088995946,0.03665780916382317
LFQ intensity D3_8,0.0061927202397906,0.043139633341790516,0.008761848753083229,0.033963881200215894,0.0,0.0029440911241357167,0.07460817121214645,0.019710994914873974,0.10158187177477022,0.03939765485246724,0.0029483892453195707,0.08001399507355905,0.015937523825960514,0.016077249161450122,0.0006626676666645594,0.01676296991893929,0.044344585959219376,0.06602839702940991,0.04088390438128991,0.014210278351272334,0.012612521548477288,0.0,0.10004260741270189,0.009166065917189147,0.08808410410705061,0.1255231664892634,0.03640070649895923
LFQ intensity D3_9,0.004066206283232885,0.016687067203198538,0.007558962463059095,0.03492982734391347,0.0,0.0,0.07261432010417947,0.023013190148614013,0.12740535630744307,0.041533162575344555,0.013988971780684433,0.05630923197620031,0.0018220065701792549,0.013669527960420178,0.023853281981813457,0.012019404150838435,0.024973819132142312,0.06988905920533825,0.038529759105791275,0.013007457443373999,0.0140992912852733,0.0,0.11073105963223673,0.01617706792351733,0.0862035536816034,0.13221922076332446,0.0446991949782778
LFQ intensity D4_1,0.004798801174564181,0.04024834339180343,0.005431353675212918,0.021221611904357854,0.0,0.0,0.05580783158381794,0.022788638374121012,0.08929348557660283,0.011924747553239422,0.013505597259795263,0.07003333838318819,0.0125399573520209,0.01282506943044174,0.02956748587368582,0.013055811994474364,0.042288999416252145,0.06314767961629261,0.03958727030510273,0.013625749642840489,0.059479853383109814,0.0,0.09220036213624928,0.031045556957356696,0.08035515489759604,0.13570799759859703,0.039519302519277204
LFQ intensity D4_10,0.002878570300779232,0.03429383378113186,0.009336922668086922,0.009253964123703792,0.0,0.0,0.0608339267681938,0.04372260451913863,0.08756388189479579,0.0,0.009410768230740569,0.07844040070316187,0.017199094133269713,0.0074475491909037515,0.04558559568646828,0.011556821372312483,0.04511296937203309,0.0715121568087278,0.042464753109217504,0.017606834058117346,0.0,0.0,0.07250458469087614,0.050487623693782284,0.09835335902116696,0.13930556627561175,0.0451282195977804
LFQ intensity D4_11,0.013061498119770249,0.028083763597614733,0.015961850146432983,0.01627416986667402,0.0,0.0,0.06387081828858811,0.03454225572776929,0.09318978391710069,0.0,0.014445417523953724,0.07133215503229073,0.0,0.020444154920925654,0.022090328492156218,0.013259858712177048,0.04863099685343845,0.06512541899277442,0.04232643345815204,0.01740972716739336,0.0,0.0,0.09356350207363036,0.03598828872578654,0.1022579034838716,0.14756390694266333,0.04057776795683645
LFQ intensity D4_12,0.0012507332060494414,0.06717747764074296,0.02275376512797862,0.018376903374644937,0.0,0.0,0.05604757422197483,0.026412861400407668,0.07960836393250141,0.005459747838944393,0.006140034509951448,0.0842203830954843,0.018946901456854907,0.026518722954521092,0.04525095758461862,0.00992097412749956,0.05277047520927765,0.06778779576683126,0.04265901172368585,0.009631085699063376,0.0,0.0,0.07551608952290967,0.0161400100027953,0.0864025643559839,0.13749038151572154,0.04351718573155723
LFQ intensity D4_2,0.004193906531873969,0.04469450093562072,0.009049050279213645,0.04380203666802265,0.0,0.0,0.06352177316741134,0.037429587515508796,0.07300836647925696,0.0,0.01272279778996879,0.07458306072359175,0.01256184221045527,0.012508185968899153,0.04024819699569258,0.010611258749561283,0.04405885827503837,0.07039401642201401,0.03547432034125342,0.007428997930656959,0.0,0.0,0.09690782362702491,0.02937785480069823,0.08602219438664543,0.14425844640206462,0.047142923799527184
LFQ intensity D4_3,0.007299162134326642,0.04506061662681694,0.008930209386982286,0.011027943341343221,0.0,0.0,0.052210601529793996,0.039288878792713956,0.08013337924542917,0.0,0.005677007794385431,0.075869807289474,0.01291835762225339,0.022865225923282415,0.017703044313184386,0.01543103095868302,0.0585615229908454,0.066255677621622,0.04289326469937762,0.007939885024091627,0.04096389158010444,0.0,0.10583146436917423,0.016326756665663005,0.0851436400622774,0.14113143038898412,0.040537201639191264
LFQ intensity D4_4,0.00020288518070543234,0.03820035996740516,0.009304012317565948,0.03750615403697183,0.0,0.0,0.06593182463812466,0.038697255483849155,0.08066144343045106,0.0,0.0,0.08569274676090287,0.020421798203239902,0.005382097445734534,0.015957634815004184,0.011155788752802131,0.05605905855115347,0.07742558079440794,0.04416101522250486,0.005435200927503515,0.0,0.0,0.09899921264001858,0.025395310685400706,0.09535586600154872,0.14538594149381134,0.04266881265089405
LFQ intensity D4_5,0.0018052262376652215,0.04128499743264895,0.015595562154563852,0.011394651423965323,0.0,0.0,0.0633040224515158,0.029389414652668203,0.08622910177302694,0.0,0.015377868590059834,0.0828853980607665,0.011098208620637488,0.012848897993791464,0.025083239660233327,0.011729906891314373,0.05679911226186545,0.07356580152833808,0.039908642501276195,0.0034151399364563285,0.0,0.0,0.10816246146524358,0.022144520591814383,0.09665291452723869,0.14414917144717582,0.047175739797734186
