group,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10
Amphid socket,0.0014329703394305178,6.506046756922652e-05,0.00016447288235235926,0.0007471895470424031,0.0011074360481412814,0.0008967150255371057,0.0024248995068766256,0.0029122076659848658,0.00024935559207136225,0.00023201745682216633
Anal muscle,0.026887021852903037,0.0333858639489197,0.035780075702538695,0.03432815243936231,0.03908682312018415,0.036573801085178624,0.031508157443799735,0.038526153626891,0.032022103902068354,0.027771930043528837
Coelomocytes,0.0,0.0,0.0,0.00044426354657577566,0.00024292815211556258,0.0012700890667128593,0.000784523218432389,0.0019557253710827506,0.0017876460787961941,0.0016237830330620001
Distal tip cell,0.006858342960466684,0.007889905887578076,0.008994758449060824,0.003387956280700214,0.001902897770146208,0.0011100980665610916,0.0001331247135784188,0.0017265898208920895,0.00012236789696929622,0.00017202324218091813
Excretory cell,6.644794984022964e-05,0.0004059104206859251,7.516623821690247e-05,0.0014330291384084682,0.00012634368962804887,0.0003975128561250309,0.0007768597735248615,0.0030131117383768308,0.0018399596261176442,0.0015411841424860398
Excretory gland,0.001256942024176815,0.0009738939365143007,0.0006704496479022726,0.00022385725591391804,0.00011781506407471965,5.342671305484141e-05,0.0,0.0,0.0,0.0
Germline,0.02249516084611504,0.020320091584337105,0.016458021465302588,0.013108149861721189,0.010416804626720927,0.007043567154865115,0.008747609610274267,0.009185707494849194,0.010115568264559891,0.010910294329128524
Glia,0.0793026251634142,0.12924996582446072,0.12345400014259424,0.12553566554135046,0.130042436448943,0.12333621090725651,0.11608353602222014,0.11405799418094666,0.12805019654435393,0.110186259408565
Gonadal,0.055259610584189954,0.027593968462918766,0.026587642540006808,0.025542107385769047,0.029725114181183912,0.026505582889897124,0.02264459553897702,0.0242296136384616,0.021940418587431027,0.022193399755193067
Hypodermal cells,0.027816302630237374,0.0321527469958443,0.011532772718225502,0.0033027910307231526,0.0018719553316994236,0.001554757041259733,0.001037500117599511,0.0,0.0,0.0008149945987139178
Intestinal-rectal valve,0.021247156180535184,0.005494498561276412,0.004047401394710811,0.004351865444503575,0.0036828302429388966,0.004553921526798034,0.004209035145491455,0.004600770934936854,0.00137783412541806,0.0016968837055783056
Intestine,0.06714716349413721,0.07318770959394193,0.09186043909151458,0.10025520155232738,0.10709928109298593,0.10760957679476695,0.106512846240859,0.09600897770187171,0.1084947338589773,0.09676153218513506
Marginal cell,0.001278308196698372,0.002105476053361359,0.009671203068066752,0.023421325798066817,0.024222921241849393,0.0222853410337779,0.017490333734622752,0.011031104774674684,0.011473727913292901,0.0095453337346293
Muscle,0.07908925429903031,0.09496185168160867,0.09125046675230837,0.108807527620301,0.13743425479864035,0.13851726433552283,0.13797122241343637,0.12238935390171392,0.14424483751021802,0.14107543316539045
Neurons,0.23330032531019454,0.23877091710077206,0.253935731346266,0.21768323002903414,0.1846583080832057,0.1927583936268049,0.19178555274653086,0.1728290492484627,0.1581135503426113,0.1584050530552309
Pharyngeal gland,0.004241538034539204,0.016261246046667416,0.010003411260895654,0.020665194175193417,0.011178140548997876,0.023900315929852412,0.05152232147784819,0.048484176771876504,0.030787769893289033,0.04433378849240012
Phasmid socket,0.009851389078067008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003734970355419464
Seminal vesicle (male),0.01562126947158886,0.011022049453538522,0.007455919271537343,0.003738661191977751,0.00015520459235153595,0.0001353361896826348,6.152558106738641e-19,9.874754716544748e-05,3.6405316615804116e-19,2.60133077713437e-19
Sperm,0.032960615765239856,0.01594120345696837,0.007893048282427201,0.0018616071943917398,0.0008794431505679714,0.000593134197655933,0.0022420300966913206,0.007458480060841091,0.00234542751638218,0.0052574521008486195
Spermatheca,0.02242510217772391,0.03354310897054802,0.037267298091105516,0.033545573365967814,0.0360066169605679,0.03835588625860453,0.04241299719546622,0.0439213372347953,0.042328021677593225,0.04824535152901735
Spermatheca-Uterine junction,0.015651397373688623,0.009500706479286268,0.009327134814006417,0.008965633098460855,0.012181284921634705,0.013906907852086798,0.01396761682332337,0.015622140122228137,0.013240383606431273,0.01596526158980232
Unassigned sheath cells,0.022748140121531455,0.02300620986053628,0.02562616650285621,0.029868003996702752,0.03178332881097051,0.036367878370475566,0.03940193373533927,0.0381506380965394,0.04100417286881045,0.040590390759586245
Uterine-vulval cells,0.032493889479976175,0.03733890661374123,0.03455830599423711,0.03478799780853211,0.04315874364375688,0.043733979504748464,0.04550869210555901,0.04661682432136172,0.05208744385211735,0.06349457088528884
Vulval cell,6.119702062790955e-05,0.002026989918920257,0.009829148502449644,0.013269940826976334,0.023354395332948318,0.012730640629308662,0.01956796968941136,0.025326403665464636,0.020894018522949507,0.017016778233886302
"arcade, marginal and pharyngeal muscle cells",0.0,0.0,0.0,0.0,0.009181459970892905,0.010197970519681264,0.009445070616123125,0.019983439970100388,0.024797530660068425,0.020567863757691443
cephalic sheath  and unidentified glial,0.021021273908270532,0.015519576423443628,0.015395717267476811,0.012527419682789547,0.005799311389604769,0.00695382290731771,0.008852664868822274,0.008427176736140829,0.001289721583197401,0.0036181895876536544
hmc,0.007971587814633557,0.014445321423451365,0.014075304586188414,0.011099886502112273,0.0109296148752144,0.012814739481181852,0.010547381831316548,0.010918137221622931,0.013967518802285937,0.013383179680442248
vulval cells and the epidermis,0.00041197403447015607,0.0,0.0022333724252560643,0.0018722709436432231,0.0027409840642500156,0.0067393290720847085,0.0,0.001239062272590659,0.0,0.0
