group,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10
Amphid socket,0.0,0.0,0.0,0.0,0.0,0.0,0.00015630018027199905,0.0,0.0,0.0
Anal muscle,0.0,0.0013079012317688786,0.01052382893570246,0.013698181413627492,0.020116780090344285,0.01794371100013239,0.01497609068101668,0.015359645555720013,0.0,0.0006310855185327509
Coelomocytes,0.000510382752171037,0.002683923521830086,0.003035258532694808,0.0038137374564991993,0.005474350892713563,0.007294809756611623,0.011473300987802967,0.011462967190544727,0.008583062214618594,0.009120685509421302
Distal tip cell,0.011229065669098932,0.016006986385594935,0.012480238249135257,0.006225080976922515,0.006865445057162252,0.004253103414326775,0.002656345416655205,0.0074623932198517795,0.004892720983271368,0.00793032714466531
Epidermis and seam cells ,0.00021344474497015064,0.0009538289089384863,0.0022344827244006726,0.0019043129521054676,0.0006704619993761212,0.0,0.0,0.0,0.0,0.0076291902842195196
Excretory cell,0.0014736048336490462,0.0023956650177179937,0.0006586761954711145,0.0049987321869131626,0.0028996655905779265,0.0023069079956684257,0.005812517632397753,0.006480977828359366,0.00611945604429701,0.006201057570615898
Germline,0.018139673785153534,0.02056901999939312,0.025673541316836548,0.02130501851739605,0.0251080529751249,0.01570318031028069,0.00896644211632515,0.016577352489611778,0.019388462648495013,0.006812470262527634
Glia,0.09843238546730136,0.12673674751380887,0.1587045320314904,0.16761016689676791,0.17320154436589866,0.16517420865146049,0.16184225451980042,0.16174698571941143,0.1539087132420547,0.1360296464632071
Gonadal,0.05468062511716516,0.07595081261055439,0.0699828320979637,0.06042287900672725,0.04642424916265478,0.03807358206569449,0.044266406853562354,0.03294333376055109,0.025626431283741462,0.02217640529115682
Hypodermal cells,0.02305523426423634,0.06540563084858586,0.02209868973059959,0.0073298099621005065,0.002597480498838159,0.0009466765025311475,0.00040715414043849055,0.0,0.0,0.0006722999675141173
Intestinal-rectal valve,0.01946170816753092,0.0075569531249928944,0.0003672907085806449,0.0,0.00044986935601037714,0.0011505578097835204,0.0006975885070280658,0.0003272271702905106,0.0,4.6733886737687965e-05
Intestine,0.09748073452498997,0.11849323465423343,0.13582842707185,0.1393438906308791,0.13715881605757219,0.1315533278962969,0.14896803039014228,0.13423428689644148,0.12814386236111464,0.11729047827697407
Marginal cell,0.006270208901530789,0.013481770496873383,0.026944881753532792,0.03930540713746916,0.04628509268152558,0.045379890386082734,0.039445231768012574,0.04114319999748952,0.03366898704605462,0.027723980453112758
Muscle,0.1841381965927745,0.1916155331530242,0.15704179784218478,0.1536452017362683,0.15887329040550166,0.15959528556182523,0.16597494979555932,0.1585710840723215,0.18863817531304375,0.18252062165993263
Neurons,0.0,0.0,0.0,0.0002673423781217757,0.0009691084266911003,0.0006779259974180014,0.0026406714730980753,0.0029528805990327984,0.0018937477912025602,0.000576105281611289
Phasmid socket,0.012068691704046397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023330019827196144
Spermatheca,0.02056782652847205,0.0394414446256048,0.03735177323099961,0.03397397241900893,0.040028892458079286,0.04005848923361668,0.04821133816467392,0.050321174009685644,0.04604208645951066,0.05032228521615393
Spermatheca-Uterine junction,0.01767166766654957,0.01945758375400912,0.012676986139646573,0.01033484930540635,0.012349872949948049,0.012936914529320012,0.012587838607044526,0.012953649480570834,0.015424585870123483,0.014993948182942593
Unassigned sheath cells,0.003888901194988521,0.0,0.0008231191676862342,0.0011216352134120772,0.0007901468877757082,0.0027672501822209416,0.005839347687677746,0.013846328210876028,0.040603022180359966,0.03999015099811986
Uterine-vulval cells,0.04383052161611589,0.04616093581123056,0.05396876079707313,0.051334302221348736,0.05840453555423292,0.05347236006920722,0.056018237193607434,0.0528143580061959,0.06308564722660258,0.060408604979006145
Vulval cell,0.0008376448585825941,0.012908187090770783,0.01842608552959186,0.018295258256861655,0.028847400819992184,0.01284597717544325,0.026008427121622733,0.026945402913961865,0.026471861214403248,0.02459807630987261
"arcade, marginal and pharyngeal muscle cells",0.0023927163364768685,0.005534279889433715,0.0023167806276033365,0.007141923633044262,0.022519296124738467,0.02159546567398134,0.02645018575155584,0.04249081469195444,0.02045606773416946,0.01729413613585868
cephalic sheath  and unidentified glial,0.01990040339888371,0.019669872598838147,0.019905051730009334,0.021641651877569126,0.015629326087396613,0.01747647289826668,0.01628185220501627,0.013745083978312379,0.015056322698079043,0.005646294710750757
hmc,0.003026783482774446,0.010075756146665069,0.015047728829317191,0.015797612509957055,0.022961330022495105,0.021593836403817724,0.02127926805211922,0.023870501448389342,0.025063811822005438,0.02100873860157365
vulval cells and the epidermis,0.0,0.0,0.01629351016275735,0.008659442755186401,0.010526750213620996,0.03140636204258957,0.005519842522527575,0.017339991206818152,0.0,0.0
