dataset,param_tag,rho_vol,r_vol,rho_nuc,r_nuc,js_vol,js_nuc
Zhu,ms0.00_mm00_C0.001,0.5006882315714638,-0.030877488748748898,0.6098901098901099,0.8429147687594635,0.5810550547725338,0.2934198057226669
Zhu,ms0.00_mm00_C0.01,0.5392027109231149,-0.1104884276786635,0.8241758241758241,0.8454952264806485,0.6509416010939242,0.3324162825334254
Zhu,ms0.00_mm05_C0.001,0.5337006424443076,0.02307398223149361,0.6043956043956044,0.834338383446583,0.5508751752506056,0.28588159619621356
Zhu,ms0.00_mm05_C0.01,0.5832192587535732,-0.08379829278660826,0.8351648351648352,0.8494144827021787,0.6168675067931834,0.29903305201597513
Zhu,ms0.00_mm10_C0.001,0.5337006424443076,0.06181662210446498,0.6043956043956044,0.8222481458382659,0.5370119169255477,0.2842039431085534
Zhu,ms0.00_mm10_C0.01,0.5832192587535732,-0.0411577538973818,0.8186813186813187,0.8453426051835093,0.5880221981789645,0.28414736918883154
Zhu,ms0.04_mm00_C0.001,0.4896840946138492,-0.034451867871917424,0.6813186813186813,0.8422546145264436,0.5793753678643989,0.27186036035068384
Zhu,ms0.04_mm00_C0.01,0.5034392658108675,-0.08146080215941337,0.7417582417582418,0.849832989475804,0.6186558825878109,0.3006637302368399
Zhu,ms0.04_mm05_C0.001,0.4594227179804091,0.32128190257492345,0.6593406593406593,0.49661301064062585,0.49254131450077765,0.32574858663318323
Zhu,ms0.04_mm05_C0.01,0.5942233957111879,0.26136383216647363,0.7967032967032966,0.4957640001227643,0.48204485287637555,0.3127681145877365
Zhu,ms0.04_mm10_C0.001,0.38239375927710695,0.5608449911266108,0.22527472527472525,-0.08552972116985319,0.43774099849282877,0.4826149984202365
Zhu,ms0.04_mm10_C0.01,0.5281985739655003,0.43468068749482974,0.4010989010989011,-0.005971857112209836,0.43930838952097817,0.4745662799689925
Zhu,ms0.08_mm00_C0.001,0.5089413342896748,0.18527935957075153,0.8076923076923077,0.7628625504501905,0.5048720350381822,0.26094738525992156
Zhu,ms0.08_mm00_C0.01,0.5557089163595367,0.06346647764340729,0.8186813186813187,0.7806781133970848,0.5262676103238687,0.2551348767797331
Zhu,ms0.08_mm05_C0.001,0.4704268549380237,0.5842864080243266,0.3736263736263736,-0.03596630903487645,0.4214886081677882,0.45939028715736896
Zhu,ms0.08_mm05_C0.01,0.5698527618488091,0.49858324993282077,0.4696204270933554,-0.002345024574471166,0.42056736430176805,0.4506991467459058
Zhu,ms0.08_mm10_C0.001,0.5454545454545455,0.6674851660457232,0.12654757501256778,-0.02064678316887649,0.39556864112839846,0.4978411028971256
Zhu,ms0.08_mm10_C0.01,0.5261707988980716,0.7076315954601585,0.12654757501256778,-0.0033736519967361295,0.3948844197948658,0.506635550022755
Eder,ms0.00_mm00_C0.001,0.7730406212724249,0.7087035663246324,0.6538461538461539,0.17238678564265034,0.35182497425584264,0.3953564127691529
Eder,ms0.00_mm00_C0.01,0.7207709707237556,0.6271257254316389,0.6483516483516483,0.1583692232119348,0.38949287910569386,0.43088997572317217
Eder,ms0.00_mm05_C0.001,0.7730406212724249,0.7087033026757742,0.6538461538461539,0.1723870756362862,0.3518251539559352,0.395356332770979
Eder,ms0.00_mm05_C0.01,0.7207709707237556,0.627132168476016,0.6483516483516483,0.15835418737151352,0.38948825178846025,0.43089360082256567
Eder,ms0.00_mm10_C0.001,0.7730406212724249,0.7087033026757742,0.6538461538461539,0.1723870756362862,0.3518251539559352,0.395356332770979
Eder,ms0.00_mm10_C0.01,0.7207709707237556,0.627132168476016,0.6483516483516483,0.15835418737151352,0.38948825178846025,0.43089360082256567
Eder,ms0.04_mm00_C0.001,0.748281313117792,0.7003293006172336,0.6813186813186813,0.11138047530248121,0.3591744419535259,0.40266666809670637
Eder,ms0.04_mm00_C0.01,0.7262730392025629,0.6330543280738113,0.6648351648351648,0.13790368903210343,0.38695038325870396,0.4119898315484412
Eder,ms0.04_mm05_C0.001,0.748281313117792,0.7037263241702698,0.6813186813186813,0.11677428550930027,0.35863719276108513,0.4015186851428173
Eder,ms0.04_mm05_C0.01,0.7207709707237556,0.6465796543734542,0.6758241758241759,0.15625310365503178,0.3852623299230707,0.4074366261965641
Eder,ms0.04_mm10_C0.001,0.748281313117792,0.7038082554536713,0.6813186813186813,0.11600709794513756,0.3585631538925283,0.4018088465092869
Eder,ms0.04_mm10_C0.01,0.7207709707237556,0.6471565963508398,0.6758241758241759,0.15274153500709528,0.38489281799275193,0.40857987593150297
Eder,ms0.08_mm00_C0.001,0.7400282103995811,0.704569741040689,0.6538461538461539,0.14982735607055767,0.346703739784394,0.37796000317562195
Eder,ms0.08_mm00_C0.01,0.7895468267088468,0.6805263898112307,0.6868131868131868,0.12180534746470024,0.36643695008130134,0.40577451638922285
Eder,ms0.08_mm05_C0.001,0.7400282103995811,0.712260601848783,0.6538461538461539,0.15556077906252475,0.34467732453609395,0.37642023580225814
Eder,ms0.08_mm05_C0.01,0.7620364843148103,0.6972369336736423,0.6758241758241759,0.13620249790025413,0.3618974989068176,0.4012269190790256
Eder,ms0.08_mm10_C0.001,0.7235220049631592,0.6280177941044777,0.6538461538461539,0.21383447430772323,0.36264263285495923,0.35464600011033803
Eder,ms0.08_mm10_C0.01,0.7647875185542139,0.7055340320791204,0.6263736263736264,0.2556151698072814,0.3520538667046335,0.3469435173477659
