group,1,8
Amphid socket,0.0,0.00010699009353926117
Anal muscle,0.017685230666142835,0.03619930397004921
Coelomocytes,0.000846085703516039,0.0036669456244924825
Distal tip cell,0.006259743351596233,0.012330682336444994
Embryonic cells,1.0133813802871046e-19,0.00046455223860711537
Epidermis and seam cells ,0.0005908760483202833,0.0007141091092738071
Excretory cell,0.0023838351688162287,0.004277875983714794
Excretory gland,0.014527693321247752,0.016785354926523815
Germline,1.6418021006483609e-19,1.6040740162844327e-19
Glia,0.027244506872856202,0.019236114585943643
Gonadal,0.10971529874982691,0.21794743598656555
Hypodermal cells,0.0276794154884693,0.0
Intestinal-rectal valve,0.0003349354213400867,0.0
Intestine,0.21747669231557198,0.08084211117857296
Marginal cell,0.003475274790606914,0.008169717511797351
Muscle,0.0719225853545796,0.08499162528762565
Neurons,0.04810272894918286,0.14362221949092333
Pharyngeal gland,0.01556661493425468,0.042612553766441755
Phasmid socket,0.015003435942649163,0.021691945598873323
Seminal vesicle (male),0.0004174424451537389,0.000351626486585613
Sperm,2.1600922806470333e-19,0.0006049920030580483
Spermatheca,0.0029946679246847974,0.004318610700935184
Spermatheca-Uterine junction,0.0008298652256422422,0.0002176608252896505
Unassigned sheath cells,0.00036325569301761665,0.0044319038616292975
Uterine-vulval cells,0.12114564919589069,0.031129819335988816
Vulval cell,0.008699364575811662,0.002948768961609314
XXX cell,4.8926340186335196e-20,4.368620244047015e-20
"arcade, marginal and pharyngeal muscle cells",0.003968491545441283,0.009567169022689047
cephalic sheath  and unidentified glial,0.0014688715808178487,0.0034854094943684646
hmc,0.008025838187169744,0.020330425096349875
vulval cells and the epidermis,0.06694672472260227,0.019432904550764178
